project,date,num_commits
cubed,2024-04-17,2
cubed,2024-04-18,1
cubed,2024-04-22,1
cubed,2024-04-24,2
cubed,2024-04-28,1
cubed,2024-04-29,2
cubed,2024-04-30,1
cubed,2024-05-01,3
cubed,2024-05-07,1
cubed,2024-05-13,1
cubed,2024-05-15,1
cubed,2024-05-16,2
cubed,2024-05-18,1
cubed,2024-05-19,2
cubed,2024-05-21,2
cubed,2024-05-22,2
cubed,2024-06-04,1
cubed,2024-06-05,3
cubed,2024-06-06,2
cubed,2024-06-08,1
cubed,2024-06-18,1
cubed,2024-06-19,4
cubed,2024-06-20,2
cubed,2024-06-21,1
cubed,2024-06-25,1
cubed,2024-06-27,2
cubed,2024-06-28,1
cubed,2024-07-19,1
cubed,2024-07-22,1
cubed,2024-07-23,3
cubed,2024-07-29,2
cubed,2024-07-30,2
cubed,2024-08-01,1
cubed,2024-08-02,2
cubed,2024-08-04,1
cubed,2024-08-06,1
cubed,2024-08-07,1
cubed,2024-08-08,1
cubed,2024-08-09,2
cubed,2024-08-13,1
cubed,2024-08-14,1
cubed,2024-08-18,1
cubed,2024-08-22,1
cubed,2024-08-27,1
cubed,2024-08-29,1
cubed,2024-08-30,2
cubed,2024-08-31,2
cubed,2024-09-01,1
cubed,2024-09-02,1
cubed,2024-09-05,1
cubed,2024-09-06,1
cubed,2024-09-09,2
cubed,2024-09-13,2
cubed,2024-09-16,1
cubed,2024-09-17,2
cubed,2024-09-19,1
cubed,2024-09-20,1
cubed,2024-09-23,1
cubed,2024-09-24,2
cubed,2024-09-25,1
cubed,2024-09-27,3
cubed,2024-09-30,2
cubed,2024-10-01,4
cubed,2024-10-02,1
cubed,2024-10-03,1
cubed,2024-10-04,1
cubed,2024-10-07,1
cubed,2024-10-08,1
cubed,2024-10-09,1
cubed,2024-10-11,1
cubed,2024-10-12,3
cubed,2024-10-14,1
cubed,2024-10-27,1
cubed,2024-10-28,1
cubed,2024-10-29,2
cubed,2024-10-31,1
cubed,2024-11-01,2
cubed,2024-11-04,1
cubed,2024-11-05,4
cubed,2024-11-06,1
cubed,2024-11-08,3
cubed,2024-11-09,1
cubed,2024-11-12,1
cubed,2024-11-13,1
cubed,2024-11-15,1
cubed,2024-11-16,1
cubed,2024-11-18,2
cubed,2024-11-20,1
cubed,2024-11-24,1
cubed,2024-11-25,1
cubed,2024-11-26,1
cubed,2024-11-28,1
cubed,2024-11-29,1
cubed,2024-12-02,1
cubed,2024-12-04,3
cubed,2024-12-05,2
cubed,2024-12-06,1
cubed,2024-12-14,1
cubed,2024-12-18,1
cubed,2024-12-21,1
cubed,2025-01-09,1
cubed,2025-01-10,1
cubed,2025-01-11,2
cubed,2025-01-13,2
cubed,2025-01-15,4
cubed,2025-01-17,3
cubed,2025-01-21,1
cubed,2025-01-22,2
cubed,2025-01-24,1
cubed,2025-01-29,1
cubed,2025-01-31,2
cubed,2025-02-04,1
cubed,2025-02-05,1
cubed,2025-02-06,2
cubed,2025-02-07,1
cubed,2025-02-11,3
cubed,2025-02-17,2
cubed,2025-02-18,1
cubed,2025-02-19,2
cubed,2025-03-04,1
cubed,2025-03-12,2
cubed,2025-03-13,2
cubed,2025-03-17,1
cubed,2025-03-18,1
cubed,2025-03-19,2
cubed,2025-04-01,1
cubed,2023-05-25,1
cubed,2023-07-10,1
cubed,2024-07-19,1
cubed,2024-08-13,1
cubed,2025-01-27,1
disq,2018-08-28,1
disq,2018-09-04,1
disq,2018-09-06,1
disq,2018-09-18,1
disq,2018-09-22,1
disq,2018-09-25,1
disq,2018-10-22,1
disq,2018-10-23,1
disq,2018-10-24,1
disq,2018-11-01,1
disq,2018-11-02,2
disq,2018-11-05,1
disq,2018-12-03,1
disq,2018-12-12,1
disq,2019-01-08,1
disq,2019-01-15,2
disq,2019-01-16,1
disq,2019-01-19,1
disq,2019-01-21,2
disq,2019-02-04,1
disq,2019-02-18,2
disq,2019-03-08,2
disq,2019-03-14,1
disq,2019-03-19,1
disq,2019-03-20,2
disq,2019-04-10,2
disq,2019-04-26,1
disq,2019-06-03,1
disq,2019-06-04,4
disq,2019-06-06,1
disq,2019-06-24,1
