project,date,num_commits
cubed,2022-05-19,5
cubed,2022-05-20,5
cubed,2022-05-21,4
cubed,2022-05-22,1
cubed,2022-05-23,1
cubed,2022-05-25,2
cubed,2022-05-26,5
cubed,2022-05-27,3
cubed,2022-05-28,2
cubed,2022-05-29,4
cubed,2022-05-30,2
cubed,2022-05-31,2
cubed,2022-06-06,4
cubed,2022-06-07,4
cubed,2022-06-08,5
cubed,2022-06-09,4
cubed,2022-06-10,2
cubed,2022-06-11,12
cubed,2022-06-13,4
cubed,2022-06-14,2
cubed,2022-06-15,5
cubed,2022-06-17,4
cubed,2022-06-18,1
cubed,2022-06-19,2
cubed,2022-06-21,1
cubed,2022-06-22,3
cubed,2022-06-23,1
cubed,2022-06-24,3
cubed,2022-06-25,1
cubed,2022-06-26,5
cubed,2022-06-27,7
cubed,2022-06-28,8
cubed,2022-06-29,5
cubed,2022-06-30,4
cubed,2022-07-03,2
cubed,2022-07-04,4
cubed,2022-07-05,4
cubed,2022-07-07,4
cubed,2022-07-08,2
cubed,2022-07-11,8
cubed,2022-07-12,5
cubed,2022-07-13,4
cubed,2022-07-14,7
cubed,2022-07-15,4
cubed,2022-07-16,3
cubed,2022-07-17,3
cubed,2022-07-18,3
cubed,2022-07-22,1
cubed,2022-08-02,2
cubed,2022-08-03,8
cubed,2022-08-04,3
cubed,2022-08-05,1
cubed,2022-08-06,1
cubed,2022-08-07,1
cubed,2022-08-08,1
cubed,2022-08-12,5
cubed,2022-08-13,2
cubed,2022-08-14,1
cubed,2022-08-15,2
cubed,2022-08-16,2
cubed,2022-08-17,4
cubed,2022-08-18,1
cubed,2022-08-22,3
cubed,2022-08-23,4
cubed,2022-08-24,3
cubed,2022-08-25,2
cyvcf2,2020-12-22,1
cyvcf2,2020-12-23,1
cyvcf2,2021-01-05,1
cyvcf2,2021-07-19,4
cyvcf2,2021-07-20,3
cyvcf2,2021-08-30,2
cyvcf2,2021-08-31,1
cyvcf2,2021-10-25,1
cyvcf2,2022-08-04,1
dask,2021-03-09,1
dask,2021-05-26,1
dask,2022-02-11,3
dask,2022-04-13,1
dask,2022-04-19,1
dask,2022-04-28,1
dask-cloudprovider,2021-02-09,2
dask-cloudprovider,2021-02-15,1
dev-box-cloud,2018-08-07,2
dev-box-cloud,2018-08-27,2
disq,2018-08-28,1
disq,2018-09-04,1
disq,2018-09-06,1
disq,2018-09-18,1
disq,2018-09-22,1
disq,2018-09-25,1
disq,2018-10-22,1
disq,2018-10-23,1
disq,2018-10-24,1
disq,2018-11-01,1
disq,2018-11-02,2
disq,2018-11-05,1
disq,2018-12-03,1
disq,2018-12-12,1
disq,2019-01-08,1
disq,2019-01-15,2
disq,2019-01-16,1
